Date,Apple Watch stand hours(hr),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-05-03,15.000,51.000,11.000,92.143,62.000,185.000,13146.000,102.500
2020-05-04,16.000,43.000,2.000,80.585,59.000,115.000,8568.000,93.000
2020-05-05,16.000,46.000,4.664,83.975,60.000,121.000,8693.000,92.000
2020-05-06,17.000,30.000,1.000,73.382,59.000,77.000,4130.000,98.500
2020-05-07,15.000,33.000,4.000,77.236,56.000,105.000,7622.000,94.000
2020-05-08,15.000,34.000,1.000,80.163,61.000,84.000,5712.383,89.000
2020-05-09,16.000,30.000,10.000,80.528,64.000,136.000,8280.000,119.500
2020-05-10,16.000,94.000,10.000,100.127,60.000,269.000,16367.000,132.000
2020-05-11,18.000,41.000,10.000,82.344,57.000,139.000,9449.000,101.500
2020-05-12,16.000,37.000,3.000,81.359,60.000,115.000,8562.980,113.000
2020-05-13,15.000,37.000,2.000,82.007,62.000,105.000,7363.020,102.000
2020-05-14,17.000,35.000,,77.829,60.000,80.000,6484.000,97.000
2020-05-15,18.000,37.000,8.000,89.917,64.000,140.000,7896.003,117.000
2020-05-16,15.000,72.000,10.846,97.481,67.000,177.000,13932.000,134.000
2020-05-17,17.000,30.000,22.647,75.801,56.000,139.000,8510.000,94.000
2020-05-18,14.000,41.000,1.000,81.214,61.000,97.000,7320.000,91.000
2020-05-19,18.000,70.000,2.000,89.174,61.000,148.000,11720.000,139.000
2020-05-20,18.000,69.000,,86.792,59.000,149.000,11431.000,129.000
2020-05-21,12.000,70.000,,90.153,60.000,142.000,10882.000,127.000
2020-05-22,16.000,73.000,1.000,88.536,56.000,153.000,11222.000,127.000
2020-05-23,16.000,83.000,5.382,99.522,60.000,220.000,13863.000,124.000
2020-05-24,17.000,56.000,24.000,83.179,53.000,239.000,13859.000,95.500
2020-05-25,16.000,62.000,15.621,89.851,60.000,228.000,12873.000,126.000
2020-05-26,17.000,70.000,4.000,82.932,57.000,160.000,11246.000,115.000
2020-05-27,17.000,103.000,11.000,88.225,58.000,222.000,14615.000,127.000
2020-05-28,16.000,66.000,,84.893,54.000,133.000,10807.000,120.000
2020-05-29,19.000,87.000,1.000,83.068,57.000,207.000,14499.000,113.000
